"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[23737]",-1.15265234657581,0.000591624343849025,0.0132056080116751,-1.17915832871117,-1.16140544702807,-1.15261733011358,-1.14402902866724,-1.127034290858,498.22410065587,1.0067937845903
"log_lik[23738]",-1.32310215591883,0.000672281405864345,0.00955052700512335,-1.34254037085224,-1.32932861229248,-1.32306451504461,-1.31697009362634,-1.30442354673411,201.814550377232,1.00295500636185
"log_lik[23739]",-0.639004621776525,0.000874281233636639,0.0160087512446343,-0.669150572101959,-0.649578828320738,-0.638670981710747,-0.627823168668427,-0.608253879724429,335.283822995995,1.00731537436931
"log_lik[23740]",-1.62687326565395,0.000222804268331967,0.00925359988023757,-1.64560312794452,-1.63245428680308,-1.62685476240981,-1.62141337925008,-1.60815842905596,1724.94169858212,1.0004010057698
"log_lik[23741]",-0.918831611443198,0.000444559268691295,0.0138584764395693,-0.946025619643366,-0.928248101991461,-0.918985437403239,-0.909402130760252,-0.891451784603207,971.788235008277,0.999452615818308
"log_lik[23742]",-0.749006127423268,0.000544508842520809,0.0160905250967791,-0.779695846005685,-0.76063284134888,-0.749232833312859,-0.737850609638641,-0.717535970395678,873.233846139736,1.0022937823765
"log_lik[23743]",-2.14165646787343,0.00145724508224428,0.0251702717133754,-2.19542108219925,-2.15730910640856,-2.14034438327566,-2.12398663011123,-2.09652933323831,298.3393992027,1.00345664892865
"log_lik[23744]",-5.13808057748388,0.00408308038156145,0.124221525794978,-5.40603686066801,-5.2132450358564,-5.13659714618064,-5.05349477027694,-4.90178693411183,925.588306211305,1.00052851012284
"log_lik[23745]",-0.823035825654053,0.0009069234987936,0.0167875149694916,-0.854856741998429,-0.834659993019005,-0.822884859496704,-0.811740825366462,-0.791039026913117,342.634836211237,1.00529125659724
"log_lik[23746]",-0.863791638173404,0.00037829231973108,0.0128120365335794,-0.890300237795157,-0.872230811330022,-0.863830590511548,-0.855372321655562,-0.83908529231267,1147.04719841298,1.00439499291351
"log_lik[23747]",-0.858031905426756,0.000403692232129856,0.0141977120348423,-0.885860213947448,-0.867154337846735,-0.857879669849769,-0.848639760312509,-0.831451626089613,1236.90384955056,1.00197730971175
"log_lik[23748]",-0.889383378551612,0.000500813846709223,0.0132611954203058,-0.915182987444733,-0.898251751463473,-0.888975628882641,-0.879674342299383,-0.864840502223501,701.152834569447,1.00359952597016
"log_lik[23749]",-0.396890155698543,0.000728984598335851,0.0165488528740796,-0.429300686309235,-0.407962669937288,-0.397025465848564,-0.385544511715061,-0.365078493155317,515.346207288391,1.00004174003038
"log_lik[23750]",-0.66475931094547,0.00061588217135358,0.0163078816325107,-0.69631464042604,-0.676211137514766,-0.664675851341622,-0.652445275626607,-0.633890335273882,701.132076889653,1.00207115980073
"log_lik[23751]",-0.594322396397059,0.000498608652530624,0.0162825158065372,-0.627428785781453,-0.604621176635694,-0.594686716064696,-0.583348512151963,-0.562554172999424,1066.40800264951,1.00030271928485
"log_lik[23752]",-1.08613308957157,0.000816471783052103,0.0129675065877707,-1.11314418666828,-1.09488806833955,-1.08600866405397,-1.0769928334695,-1.06173547768552,252.249662607962,1.00492199947869
"log_lik[23753]",-1.01129186835721,0.000386779289482051,0.0143944840792282,-1.04071325403167,-1.02095768329043,-1.01072527182257,-1.00215105178219,-0.982148873439063,1385.05106282456,1.00270918054711
"log_lik[23754]",-1.32378792975319,0.000570091591805355,0.0123999559136817,-1.34603936585902,-1.33235228274036,-1.32444415919854,-1.31582084260468,-1.29728403462683,473.097889621448,1.0036695942684
"log_lik[23755]",-0.775054063428688,0.000705590913006972,0.0150181305988122,-0.804882013781577,-0.785605956315394,-0.775089171835426,-0.763524958785164,-0.74682708148775,453.028782554214,1.00115901787476
"log_lik[23756]",-2.53374354665015,0.000967206943131764,0.0425779413237828,-2.62396517760335,-2.56124974125959,-2.52972854589325,-2.50556346376077,-2.45588318114707,1937.8961831804,1.00099000035696
"log_lik[23757]",-0.821452984276993,0.00140254697683367,0.0179450457916724,-0.85635890150849,-0.833721631134785,-0.82074447241375,-0.809089032465111,-0.787762109659668,163.702121979696,0.999806946915923
"log_lik[23758]",-0.647459825721369,0.00066114583799351,0.0157299088003049,-0.678879336138109,-0.658354458544841,-0.647059337393059,-0.636572948612743,-0.617319081737453,566.054011693209,1.00333597604861
"log_lik[23759]",-1.26107711830495,0.000437998175311069,0.0109281144374517,-1.28105947897283,-1.26834941965749,-1.26173293142558,-1.25398287763452,-1.23801105443358,622.50933149853,1.00099786492472
"log_lik[23760]",-0.939415690705167,0.00086570366296976,0.0153409600115062,-0.969070610528247,-0.950242747933337,-0.94004256091971,-0.928847707460734,-0.910778166575408,314.026692898894,1.00254225659098
"log_lik[23761]",-1.17264015442243,0.00050941983509621,0.0161935553812626,-1.20444934767923,-1.18387182868026,-1.17183243849944,-1.16193496943612,-1.14057937473042,1010.49162851719,1.00028928405467
"log_lik[23762]",-1.15571796079712,0.000904581325615969,0.0146409724156408,-1.18565250689579,-1.16495675835132,-1.15583958964161,-1.14622122734296,-1.12833102446647,261.965807162259,1.00820138049727
"log_lik[23763]",-1.17893477961379,0.000618026370932788,0.0139401841849642,-1.20683578544806,-1.1880754571725,-1.17852942483909,-1.16954703328812,-1.15314770050521,508.771775560186,1.00397347093869
"log_lik[23764]",-1.77726286216536,0.00142352647936989,0.0367769330215764,-1.85002044320876,-1.80178024563055,-1.77699897343855,-1.75267228844301,-1.70768422565836,667.451813953748,1.00316366723313
"log_lik[23765]",-2.11858307464951,0.000450360616762506,0.00989739417204208,-2.13753000170853,-2.12509075399373,-2.11879275759769,-2.11210953951781,-2.09883638816381,482.970854034093,1.00252305882738
"log_lik[23766]",-0.739195807756506,0.00112892477067356,0.0156711040478894,-0.768421586931769,-0.749717077047629,-0.738982951883435,-0.729073923862195,-0.707570742898716,192.694439903855,1.00642088299489
"log_lik[23767]",-1.02064748598821,0.000296504526514501,0.0144993653546819,-1.05087133412276,-1.02988341004877,-1.01973627346263,-1.01140938472797,-0.992719447440595,2391.30697756147,1.0023002061282
"log_lik[23768]",-0.793247525869359,0.000936978917560796,0.0154800932674349,-0.82298329798382,-0.804426589772261,-0.793561670684211,-0.782696378979049,-0.763964809065619,272.952770996789,1.00184038771333
"log_lik[23769]",-0.734282533874128,0.00033297212310773,0.0130984407347241,-0.760201404085597,-0.742863485852338,-0.734778097348267,-0.725619266704013,-0.707637835473226,1547.4743112701,1.00021205590554
"log_lik[23770]",-1.13559175445802,0.000280305171212678,0.0107809451758879,-1.15645422956621,-1.14272273447693,-1.13585457831569,-1.12876279902115,-1.11324076648205,1479.28364339189,1.00149181142545
"log_lik[23771]",-2.94251805338562,0.00139064087776874,0.0487986213239116,-3.04280200506739,-2.97506642341189,-2.93910685661187,-2.90948298738243,-2.85142153934116,1231.36022798285,1.00235557718609
"log_lik[23772]",-1.22489324948098,0.000776050471805984,0.0101278175432989,-1.24452199581135,-1.23105185953844,-1.22476181929728,-1.21844458284557,-1.20438822202426,170.314570215705,1.00198186468208
"log_lik[23773]",-0.90376718226008,0.00107900056462336,0.0165891701100853,-0.939887286197181,-0.914105056161975,-0.903299750645303,-0.892800635780999,-0.873104474571947,236.377414062472,1.00525277745738
"log_lik[23774]",-1.00832160913088,0.000451467576868642,0.0126559328969164,-1.03356762408516,-1.01623908259272,-1.00856321981375,-0.999906727985292,-0.983836833307736,785.841925285928,1.00497106114317
"log_lik[23775]",-1.10950310375415,0.000659019774878519,0.0143420308086782,-1.13805981479959,-1.1190407215157,-1.10935965237553,-1.10058337642698,-1.08154850971894,473.613866589535,1.00671370057434
"log_lik[23776]",-0.971970523323092,0.000794960308816658,0.0154468399066859,-1.0020938772662,-0.982987260934237,-0.971331184185901,-0.961382385073086,-0.942008510349982,377.56210603686,1.00038289449918
"log_lik[23777]",-0.780202809005811,0.000378273543339622,0.0129202912638363,-0.80609978113957,-0.788375549947102,-0.780697526674613,-0.771607576440574,-0.754758177526742,1166.62874544921,1.00407960892465
"log_lik[23778]",-1.54857133202877,0.000215403106834929,0.00764426990374266,-1.56406696470107,-1.55313828267418,-1.54832568519149,-1.54407375314998,-1.53331062554674,1259.41278992489,1.00082317675997
"log_lik[23779]",-0.836309070864561,0.000522531809556171,0.0157282035237987,-0.866719934142817,-0.847102706290939,-0.836388600441572,-0.825302369507206,-0.805569425737802,906.009545636735,0.999502489771778
"log_lik[23780]",-0.850017002935313,0.000622300757708941,0.0138262669875377,-0.876131982502228,-0.860173364758365,-0.850102490255303,-0.840371058219318,-0.823368416055234,493.638720880079,1.00159353962526
"log_lik[23781]",-1.43162327329302,0.000318709858748911,0.008073921874646,-1.44727707235656,-1.4369805553399,-1.43189665180621,-1.42648713825382,-1.41545703535759,641.768046417884,1.00182237097863
"log_lik[23782]",-1.17552671442392,0.000654856909189674,0.0128828465979898,-1.20089189164592,-1.18386804608305,-1.17491624917988,-1.16706482276611,-1.15087851963001,387.017713680271,1.00057068606394
"log_lik[23783]",-1.08117022897417,0.000426197914143109,0.0133934628431462,-1.10762075882735,-1.08993308276522,-1.08118371296514,-1.07255655603049,-1.05342034103533,987.559143967851,1.00034193972211
"log_lik[23784]",-0.857269900135261,0.000901162534893903,0.0158637648789755,-0.887433780304361,-0.868251501479179,-0.857087499271004,-0.846492056025212,-0.827186864129796,309.889080197643,1.00638288438342
"log_lik[23785]",-1.48788026216818,0.000872941575064675,0.0198426260706113,-1.52645084877906,-1.5013366148288,-1.48794424061108,-1.4745578601373,-1.44837128337816,516.687483184674,1.0025588055543
"log_lik[23786]",-3.68988828612945,0.00230345852081061,0.083653044457389,-3.85292332811748,-3.74585409541762,-3.68768930858858,-3.63686612501465,-3.52137005650212,1318.87218822173,0.999664066891058
