"ordre","franja","tipo_dia","media_hw","sd_hw","n"
10,"16-18h","Laborable",9.14674329501916,3.12662888987994,174
11,"16-18h","Laborable",9.35526315789474,3.49058232200308,171
12,"16-18h","Laborable",9.38672316384181,3.66008333712071,177
13,"16-18h","Laborable",9.4969868173258,3.92071925547527,177
14,"16-18h","Laborable",9.67907407407406,4.05367162436499,180
15,"16-18h","Laborable",9.59722222222222,4.17957460584032,180
16,"16-18h","Laborable",9.4753745318352,4.20601913960069,178
17,"16-18h","Laborable",9.30251396648045,4.2974008867042,179
18,"16-18h","Laborable",9.36114285714286,4.67644241158809,175
19,"16-18h","Laborable",9.28322851153039,4.65423354943475,159
20,"16-18h","Laborable",9.22101851851851,4.86849451780754,180
21,"16-18h","Laborable",9.39434523809524,4.91371349123815,168
22,"16-18h","Laborable",9.36508875739645,4.84212775534535,169
23,"16-18h","Laborable",9.3391472868217,4.85240725709477,172
24,"16-18h","Laborable",9.2563872255489,4.95930923760692,167
25,"16-18h","Laborable",8.9820202020202,4.64496076711576,165
26,"16-18h","Laborable",9.10734126984127,4.90639483267448,168
27,"16-18h","Laborable",9.17743902439024,4.97048471297077,164
28,"16-18h","Laborable",9.17197916666666,4.83831680189034,160
29,"16-18h","Laborable",8.88932461873638,4.69431721208131,153
30,"16-18h","Laborable",8.80664556962025,4.75017224698809,158
31,"16-18h","Laborable",9.01923868312757,5.08919597813753,162
32,"16-18h","Laborable",9.14040404040404,5.20762357814877,165
33,"16-18h","Laborable",9.18905622489959,5.17382160621927,166
34,"16-18h","Laborable",9.27130801687764,5.42405648890438,158
35,"16-18h","Laborable",9.20054824561404,5.48375835150503,152
36,"16-18h","Laborable",9.29635761589404,5.71799721931964,151
37,"16-18h","Laborable",9.11054852320675,5.67153729558612,158
38,"16-18h","Laborable",9.40707762557078,5.41939112229976,146
39,"16-18h","Laborable",9.02275641025641,5.33638322960937,156
1,"6-8h","Laborable",8.88423772609819,1.423337555584,258
2,"6-8h","Laborable",8.76738845144357,1.71019204568901,254
3,"6-8h","Laborable",8.80780839895013,2.09522619874935,254
4,"6-8h","Laborable",8.88280423280423,2.23646629323556,252
5,"6-8h","Laborable",8.84692101740294,2.35392638463741,249
6,"6-8h","Laborable",8.82915032679738,2.33876241689215,255
7,"6-8h","Laborable",8.8716339869281,2.41085039727384,255
8,"6-8h","Laborable",8.77239583333334,2.64690178364963,256
9,"6-8h","Laborable",8.7465744400527,2.69691289977844,253
10,"6-8h","Laborable",8.81150326797386,2.87423171017307,255
11,"6-8h","Laborable",8.80299479166666,3.22734296752578,256
12,"6-8h","Laborable",8.76528326745718,3.26961103554568,253
17,"6-8h","Laborable",8.79375,3.65789223176029,248
18,"6-8h","Laborable",8.82108843537415,3.79177396640077,245
19,"6-8h","Laborable",8.85773558368495,3.79655888914083,237
22,"6-8h","Laborable",8.78465608465609,4.02836671541547,252
23,"6-8h","Laborable",8.88340080971659,4.12929267976678,247
24,"6-8h","Laborable",8.82123098201936,4.23812146176413,241
26,"6-8h","Laborable",8.79663978494624,4.42428936571029,248
28,"6-8h","Laborable",9.05360750360751,4.45374173384023,231
29,"6-8h","Laborable",9.06791666666667,4.58673433471743,240
30,"6-8h","Laborable",9.05809327846365,4.89286444470671,243
31,"6-8h","Laborable",9.05948275862069,4.72757063596384,232
32,"6-8h","Laborable",9.13764124293785,4.72472537046348,236
33,"6-8h","Laborable",8.98544303797469,4.65966335410631,237
34,"6-8h","Laborable",8.90062761506275,4.66819936078619,239
35,"6-8h","Laborable",9.07894345238095,4.60689857973268,224
36,"6-8h","Laborable",9.25498442367601,4.92473858760552,214
37,"6-8h","Laborable",9.20618846694796,5.23466837267297,237
38,"6-8h","Laborable",9.22386196769457,5.26964714538933,227
39,"6-8h","Laborable",9.43524464831805,5.29876857911122,218
1,"8-10h","Laborable",9.28476394849786,1.66312493053191,233
2,"8-10h","Laborable",9.4703869047619,2.25912996756956,224
3,"8-10h","Laborable",9.46607929515419,2.440625241792,227
4,"8-10h","Laborable",9.38842182890856,2.65250357713267,226
5,"8-10h","Laborable",9.41395007342144,2.75971444297035,227
6,"8-10h","Laborable",9.43105726872247,2.81912382710592,227
7,"8-10h","Laborable",9.42675250357653,2.87988250948929,233
8,"8-10h","Laborable",9.48450292397661,3.06615883500184,228
9,"8-10h","Laborable",9.47397660818714,3.18435552246131,228
10,"8-10h","Laborable",9.52659420289855,3.26290432486934,230
11,"8-10h","Laborable",9.59471014492753,3.35984143765951,230
12,"8-10h","Laborable",9.52813852813852,3.46740996045559,231
13,"8-10h","Laborable",9.50233918128655,3.44187337092506,228
14,"8-10h","Laborable",9.496,3.50297263219465,225
15,"8-10h","Laborable",9.57738619676945,3.72745238722929,227
16,"8-10h","Laborable",9.55948275862069,3.94584780279452,232
17,"8-10h","Laborable",9.68920704845815,3.92417841863334,227
18,"8-10h","Laborable",9.64045521292217,4.17339214599512,227
19,"8-10h","Laborable",9.87022653721682,4.37614013048663,206
20,"8-10h","Laborable",9.90052552552553,4.36108741404944,222
21,"8-10h","Laborable",9.85841049382716,4.58552801512335,216
22,"8-10h","Laborable",9.90668202764976,4.59458189253959,217
25,"8-10h","Laborable",10.1008012820513,4.79212757976893,208
26,"8-10h","Laborable",9.98075684380033,4.64113784922598,207
27,"8-10h","Laborable",9.97825396825398,4.6590160708661,210
28,"8-10h","Laborable",10.1994107744108,4.66030518072617,198
29,"8-10h","Laborable",10.1512759170654,5.10060704960353,209
30,"8-10h","Laborable",9.99945987654321,5.18685139130557,216
31,"8-10h","Laborable",10.0180620155039,5.06803715850204,215
32,"8-10h","Laborable",10.1814992025518,5.23875607973432,209
33,"8-10h","Laborable",10.0962015503876,5.46374625574266,215
34,"8-10h","Laborable",10.1539308176101,5.41101457543599,212
35,"8-10h","Laborable",10.2069047619048,5.481256418562,210
36,"8-10h","Laborable",10.26592039801,5.67601393255167,201
37,"8-10h","Laborable",10.2255503144654,5.79464066287851,212
38,"8-10h","Laborable",10.1801737756714,5.7834308139927,211
39,"8-10h","Laborable",10.1390749601276,5.65481405560211,209
1,"12-14h","Laborable",9.21031746031746,1.87388307350723,231
2,"12-14h","Laborable",9.265,2.51592808021285,230
3,"12-14h","Laborable",9.27407407407408,2.58444329926342,225
4,"12-14h","Laborable",9.40679012345679,2.79107616065172,216
5,"12-14h","Laborable",9.4371212121212,2.92170593944794,220
6,"12-14h","Laborable",9.42591743119266,2.9644242028411,218
7,"12-14h","Laborable",9.47424924924924,2.96821841768762,222
8,"12-14h","Laborable",9.47481481481482,3.14966658253358,225
9,"12-14h","Laborable",9.345,3.16024667649799,220
10,"12-14h","Laborable",9.45217717717717,3.32495463017915,222
11,"12-14h","Laborable",9.5085626911315,3.44538034888514,218
12,"12-14h","Laborable",9.55668202764977,3.63997158755384,217
13,"12-14h","Laborable",9.65550527903469,3.88233614568317,221
14,"12-14h","Laborable",9.62833333333334,3.82945674541343,220
15,"12-14h","Laborable",9.68013392857144,3.90014703795993,224
17,"12-14h","Laborable",9.58318713450292,4.15750181235038,228
18,"12-14h","Laborable",9.63513513513514,4.0342761268945,222
19,"12-14h","Laborable",9.92891666666667,4.09270519814423,200
20,"12-14h","Laborable",9.62222222222223,4.27198765194937,222
21,"12-14h","Laborable",9.66407232704402,4.57501569894715,212
22,"12-14h","Laborable",9.66973094170403,4.67111240696183,223
23,"12-14h","Laborable",9.72683486238532,4.71198750410705,218
24,"12-14h","Laborable",9.76798449612403,4.99232168168104,215
25,"12-14h","Laborable",9.89843505477308,4.93786976457773,213
26,"12-14h","Laborable",9.94291465378422,4.98323762360223,207
27,"12-14h","Laborable",9.94072327044026,5.09543264191183,212
28,"12-14h","Laborable",9.99134615384615,5.09613379013151,208
29,"12-14h","Laborable",9.92668269230769,5.16801731343554,208
30,"12-14h","Laborable",10.01331738437,5.31222303951361,209
31,"12-14h","Laborable",9.91933656957928,5.34193687577954,206
32,"12-14h","Laborable",10.1116666666667,5.53983905179833,210
33,"12-14h","Laborable",9.903668261563,5.47817175275369,209
34,"12-14h","Laborable",9.96155660377359,5.61864597190483,212
35,"12-14h","Laborable",10.2447546531303,5.72289436954833,197
36,"12-14h","Laborable",10.5000896057348,5.55978819170948,186
37,"12-14h","Laborable",10.4392055267703,5.77308295019084,193
38,"12-14h","Laborable",10.3668411867365,5.92071914331872,191
39,"12-14h","Laborable",10.3464223385689,5.96780080848022,191
1,"14-16h","Laborable",9.3344512195122,2.47503907903127,164
2,"14-16h","Laborable",9.50154320987654,3.06972898543422,162
3,"14-16h","Laborable",9.44567510548524,3.16108916589196,158
4,"14-16h","Laborable",9.54172043010753,3.26169024947595,155
5,"14-16h","Laborable",9.59668803418803,3.46376037183853,156
6,"14-16h","Laborable",9.56504329004328,3.52903547622424,154
7,"14-16h","Laborable",9.62415611814346,3.5868062208288,158
8,"14-16h","Laborable",9.61213080168777,3.59930973995778,158
9,"14-16h","Laborable",9.7731981981982,3.62643024936319,148
10,"14-16h","Laborable",9.77824675324675,3.70415492628819,154
11,"14-16h","Laborable",9.70759493670886,3.69463450359213,158
12,"14-16h","Laborable",9.75010482180294,3.83458817145193,159
13,"14-16h","Laborable",9.83511530398323,3.91249782230563,159
14,"14-16h","Laborable",9.82885416666667,4.02833375265305,160
15,"14-16h","Laborable",9.86404612159329,4.2164655038619,159
16,"14-16h","Laborable",9.88888888888888,4.30212604125103,162
17,"14-16h","Laborable",9.89715189873418,4.12396427754703,158
18,"14-16h","Laborable",9.93549382716049,4.34053794251317,162
19,"14-16h","Laborable",9.94695945945945,4.43860700995498,148
20,"14-16h","Laborable",10.0107966457023,4.42538075883146,159
21,"14-16h","Laborable",9.79108280254777,4.47555028077547,157
22,"14-16h","Laborable",9.7541935483871,4.31774192826774,155
23,"14-16h","Laborable",9.73704883227176,4.3152010508693,157
24,"14-16h","Laborable",9.9547770700637,4.72877249984118,157
25,"14-16h","Laborable",9.74901960784313,4.65565870997175,153
26,"14-16h","Laborable",9.95056306306306,4.86861911241325,148
27,"14-16h","Laborable",9.91258278145696,5.02762699597874,151
28,"14-16h","Laborable",9.97626931567329,5.4087988798384,151
29,"14-16h","Laborable",10.1061403508772,5.57585218682403,152
30,"14-16h","Laborable",9.94684684684684,5.34862545172068,148
31,"14-16h","Laborable",10.0410430839002,5.41244699430558,147
32,"14-16h","Laborable",10.0912037037037,5.5104037169445,144
33,"14-16h","Laborable",10.2023148148148,5.55229521658826,144
34,"14-16h","Laborable",10.35,5.57706969198039,141
35,"14-16h","Laborable",10.2838422391857,5.37235800261426,131
36,"14-16h","Laborable",10.2253846153846,5.45995413156528,130
37,"14-16h","Laborable",10.1113526570048,5.51137950766255,138
38,"14-16h","Laborable",10.3202637889688,5.61559278233927,139
39,"14-16h","Laborable",10.1650735294118,5.61544089591002,136
23,"8-10h","Laborable",9.92727272727273,4.6657882557019,220
24,"8-10h","Laborable",10.0062597809077,4.61305769540858,213
1,"10-12h","Laborable",9.5295524691358,2.03352581509186,216
2,"10-12h","Laborable",9.54353582554517,2.41839822710959,214
3,"10-12h","Laborable",9.57567140600316,2.51882237317292,211
4,"10-12h","Laborable",9.53789308176101,2.67991282880213,212
5,"10-12h","Laborable",9.50031746031745,2.91146606840553,210
6,"10-12h","Laborable",9.52320872274143,2.99812692092178,214
7,"10-12h","Laborable",9.57106481481482,3.21868574586946,216
8,"10-12h","Laborable",9.45782945736434,3.42732657285976,215
9,"10-12h","Laborable",9.49875,3.39861942669927,200
10,"10-12h","Laborable",9.54912698412697,3.61933317054784,210
11,"10-12h","Laborable",9.46375786163522,3.79654344858507,212
12,"10-12h","Laborable",9.47785602503911,3.88881961150009,213
13,"10-12h","Laborable",9.49834123222748,4.12237874226111,211
14,"10-12h","Laborable",9.41627172195893,4.13493934517176,211
15,"10-12h","Laborable",9.4959935897436,4.15089090489096,208
19,"10-12h","Laborable",9.32871794871796,4.56129142949694,195
20,"10-12h","Laborable",9.30574433656958,4.64129171598316,206
21,"10-12h","Laborable",9.31757877280265,4.75200168321056,201
22,"10-12h","Laborable",9.32423510466989,4.67489584681263,207
23,"10-12h","Laborable",9.46791666666667,4.87027267608491,200
24,"10-12h","Laborable",9.42033333333333,4.85547005995,200
25,"10-12h","Laborable",9.37328308207705,4.97724023609796,199
26,"10-12h","Laborable",9.39942528735632,5.161663013953,203
27,"10-12h","Laborable",9.21875,5.08193446372883,200
28,"10-12h","Laborable",9.53780068728522,5.28788195225226,194
29,"10-12h","Laborable",9.32739361702128,5.21975985393672,188
30,"10-12h","Laborable",9.3515625,5.40784693592584,192
31,"10-12h","Laborable",9.16331569664903,5.19857914414031,189
32,"10-12h","Laborable",9.03842105263158,5.32700604265736,190
33,"10-12h","Laborable",9.16965811965812,5.46220098774393,195
